Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
25,Evan Mobley,22,CLE,PF,12,12,422,81,146,.555,5,18,.278,76,128,.594,.572,25,36,.694,30,81,111,28,10,26,22,34,192,,mobleev01
26,Paolo Banchero,21,ORL,PF,7,7,262,68,149,.456,16,40,.400,52,109,.477,.510,37,49,.755,14,46,60,28,8,4,32,14,189,,banchpa01
27,Josh Hart,28,NYK,SF,13,13,548,66,150,.440,22,59,.373,44,91,.484,.513,35,48,.729,37,113,150,59,13,10,34,41,189,,hartjo01
28,Michael Porter Jr.,25,DEN,SF,12,12,443,68,146,.466,33,81,.407,35,65,.538,.579,20,26,.769,8,74,82,13,11,10,18,27,189,,portemi01
29,Darius Garland,24,CLE,PG,12,12,432,73,171,.427,25,71,.352,48,100,.480,.500,17,21,.810,1,42,43,69,13,2,27,33,188,,garlada01
30,Jalen Williams,22,OKC,PF,10,10,377,75,160,.469,15,39,.385,60,121,.496,.516,22,27,.815,13,55,68,54,17,5,19,21,187,,willija06
31,Obi Toppin,25,IND,PF,17,0,343,73,135,.541,20,56,.357,53,79,.671,.615,19,25,.760,10,65,75,29,6,6,14,21,185,,toppiob01
32,Rudy Gobert,31,MIN,C,15,15,512,64,104,.615,0,0,,64,104,.615,.615,53,79,.671,40,107,147,24,14,15,23,55,181,,goberru01
33,Tyrese Maxey,23,PHI,PG,6,6,267,66,138,.478,22,55,.400,44,83,.530,.558,25,28,.893,1,30,31,41,5,2,13,16,179,,maxeyty01
34,Aaron Nesmith,24,IND,SF,17,17,559,61,141,.433,22,79,.278,39,62,.629,.511,34,37,.919,19,65,84,37,11,9,23,66,178,,nesmiaa01
35,Naz Reid,24,MIN,C,16,0,361,65,142,.458,25,69,.362,40,73,.548,.546,22,31,.710,9,50,59,16,8,12,14,32,177,,reidna01
36,Mike Conley,36,MIN,PG,15,15,474,62,145,.428,30,76,.395,32,69,.464,.531,20,28,.714,10,48,58,86,21,3,20,38,174,,conlemi01
37,Al Horford,37,BOS,C,19,15,575,66,138,.478,35,95,.368,31,43,.721,.605,7,11,.636,35,98,133,40,15,16,12,28,174,,horfoal01
38,Aaron Gordon,28,DEN,PF,12,12,445,69,118,.585,11,27,.407,58,91,.637,.631,23,28,.821,36,51,87,53,10,7,18,28,172,,gordoaa01
39,Dereck Lively II,19,DAL,C,21,0,462,64,95,.674,1,1,1.000,63,94,.670,.679,36,61,.590,57,99,156,27,9,20,21,48,165,,livelde01
40,Chet Holmgren,21,OKC,C,10,10,345,59,119,.496,13,50,.260,46,69,.667,.550,25,33,.758,14,58,72,21,7,25,19,26,156,,holmgch01
41,Khris Middleton,32,MIL,SF,6,6,230,55,114,.482,11,31,.355,44,83,.530,.531,27,30,.900,12,43,55,28,3,1,14,25,148,,middlkh01
42,Miles McBride,23,NYK,PG,13,2,347,54,124,.435,25,68,.368,29,56,.518,.536,10,12,.833,7,22,29,25,7,2,11,30,143,,mcbrimi01
43,Anthony Davis,30,LAL,C,5,5,208,59,93,.634,0,5,.000,59,88,.670,.634,21,26,.808,15,63,78,20,2,8,11,19,139,,davisan02
44,LeBron James,39,LAL,PF,5,5,204,56,99,.566,10,26,.385,46,73,.630,.616,17,23,.739,4,30,34,44,12,5,19,11,139,,jamesle01
45,OG Anunoby,26,NYK,SF,9,9,324,56,111,.505,16,39,.410,40,72,.556,.577,8,13,.615,7,47,54,10,8,9,10,15,136,,anunoog01
46,Franz Wagner,22,ORL,SF,7,7,259,42,103,.408,9,34,.265,33,69,.478,.451,39,44,.886,10,38,48,31,5,9,9,20,132,,wagnefr01
47,James Harden,34,LAC,PG,6,6,242,40,89,.449,18,47,.383,22,42,.524,.551,29,32,.906,3,24,27,48,6,6,14,13,127,,hardeja01
48,Damian Lillard,33,MIL,PG,4,4,156,34,81,.420,20,48,.417,14,33,.424,.543,37,38,.974,2,11,13,20,4,0,9,8,125,,lillada01
49,Payton Pritchard,26,BOS,PG,19,0,355,44,105,.419,23,60,.383,21,45,.467,.529,11,12,.917,14,23,37,40,4,0,14,22,122,,pritcpa01
