Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
141,Spencer Dinwiddie,30,LAL,PG,5,0,73,5,14,.357,2,8,.250,3,6,.500,.429,3,6,.500,1,6,7,8,2,1,1,7,15,,dinwisp01
142,Tristan Thompson,32,CLE,C,10,0,87,7,16,.438,0,0,,7,16,.438,.438,1,2,.500,10,10,20,10,1,5,2,9,15,,thomptr01
143,Josh Okogie,25,PHO,SG,4,0,29,5,9,.556,1,3,.333,4,6,.667,.611,3,6,.500,0,4,4,2,2,0,2,7,14,,okogijo01
144,Doug McDermott,32,IND,SF,10,0,64,5,11,.455,3,8,.375,2,3,.667,.591,0,0,,2,1,3,7,0,2,1,5,13,,mcderdo01
145,Duncan Robinson,29,MIA,SF,5,0,60,5,16,.313,3,13,.231,2,3,.667,.406,0,0,,0,5,5,6,2,0,5,6,13,,robindu01
146,Jalen Smith,23,IND,C,7,0,42,3,8,.375,2,4,.500,1,4,.250,.500,5,8,.625,7,7,14,2,2,1,4,8,13,,smithja04
147,Thomas Bryant,26,MIA,C,2,0,18,5,7,.714,0,2,.000,5,5,1.000,.714,2,3,.667,2,3,5,1,0,0,2,1,12,,bryanth01
148,Andre Jackson Jr.,22,MIL,SG,5,0,60,5,11,.455,2,6,.333,3,5,.600,.545,0,0,,5,6,11,10,5,1,3,10,12,,jacksan01
149,Xavier Tillman Sr.,25,BOS,PF,8,0,69,5,8,.625,1,1,1.000,4,7,.571,.688,1,1,1.000,4,10,14,3,3,3,3,7,12,,tillmxa01
150,Danilo Gallinari,35,MIL,SF,3,0,37,4,8,.500,0,2,.000,4,6,.667,.500,3,4,.750,1,8,9,2,0,0,1,0,11,,gallida01
151,Bones Hyland,23,LAC,PG,3,0,12,3,7,.429,1,5,.200,2,2,1.000,.500,4,4,1.000,0,2,2,4,0,0,1,0,11,,hylanbo01
152,Joe Ingles,36,ORL,SF,7,0,68,4,12,.333,2,7,.286,2,5,.400,.417,1,2,.500,2,11,13,12,3,0,0,3,11,,inglejo01
153,A.J. Lawson,23,DAL,SG,10,0,30,4,9,.444,2,6,.333,2,3,.667,.556,1,2,.500,1,2,3,0,0,1,0,1,11,,lawsoaj01
154,P.J. Tucker,38,LAC,PF,2,1,31,4,6,.667,3,4,.750,1,2,.500,.917,0,0,,3,0,3,0,0,0,3,6,11,,tuckepj01
155,Dean Wade,27,CLE,PF,3,1,63,4,13,.308,3,10,.300,1,3,.333,.423,0,0,,1,5,6,5,1,2,2,4,11,,wadede01
156,Jae Crowder,33,MIL,PF,4,0,42,3,12,.250,1,7,.143,2,5,.400,.292,2,2,1.000,2,4,6,2,0,2,0,4,9,,crowdja01
157,Kevin Love,35,MIA,PF,5,0,32,4,9,.444,1,4,.250,3,5,.600,.500,0,0,,1,13,14,4,0,0,2,2,9,,loveke01
158,Paul Reed,24,PHI,C,6,0,43,4,9,.444,0,0,,4,9,.444,.444,1,2,.500,9,7,16,2,1,3,3,7,9,,reedpa01
159,DaQuan Jeffries,26,NYK,SG,4,0,20,3,8,.375,2,5,.400,1,3,.333,.500,0,0,,1,3,4,0,1,0,0,2,8,,jeffrda01
160,Svi Mykhailiuk,26,BOS,SF,8,0,32,3,12,.250,2,9,.222,1,3,.333,.333,0,0,,1,4,5,1,1,0,2,3,8,,mykhasv01
